breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Total Revenue",BAC,98581000.0,94950000.0,89113000.0,85528000.0
"Net Interest Income",BAC,56931000.0,52462000.0,42934000.0,43360000.0
"Interest Income",BAC,130262000.0,72565000.0,47672000.0,51585000.0
"Interest Income from Loans And Lease",BAC,57124000.0,37919000.0,29282000.0,34029000.0
"Interest Income from Loans",BAC,78340455.8522935,59370784.164795734,51505248.92342425,34029000.0
"Interest Income from Securities",BAC,28999000.0,22648000.0,16146000.0,13918000.0
"Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell",BAC,18679000.0,4560000.0,-90000.0,903000.0
"Other Interest Income",BAC,25460000.0,7438000.0,2334000.0,2735000.0
"Interest Expense",BAC,73331000.0,20103000.0,4738000.0,8225000.0
"Interest Expense for Deposit",BAC,26163000.0,4718000.0,537000.0,1943000.0
"Interest Expense for Short Term Debt",BAC,30553000.0,6978000.0,-358000.0,987000.0
"Interest Expense for Long Term Debt And Capital Securities",BAC,14572000.0,6869000.0,3431000.0,4321000.0
"Other Interest Expense",BAC,2043000.0,1538000.0,1128000.0,974000.0
"Non Interest Income",BAC,41650000.0,42488000.0,46179000.0,42168000.0
"Fees And Commissions",BAC,27301000.0,28389000.0,30412000.0,27371000.0
"Fees & Commission Income",BAC,27301000.0,28389000.0,30412000.0,27371000.0
"Service Charge on Depositor Accounts",BAC,5684000.0,6405000.0,7504000.0,7141000.0
"Trust Fees by Commissions",BAC,12002000.0,12152000.0,12729000.0,10708000.0
"Securities Activities",BAC,3561000.0,3749000.0,3961000.0,3866000.0
"Credit Card",BAC,6054000.0,6083000.0,6218000.0,5656000.0
"Investment Banking Profit",BAC,4708000.0,4823000.0,8887000.0,7180000.0
"Trading Gain Loss",BAC,12732000.0,12075000.0,8691000.0,8355000.0
"Gain Losson Saleof Assets",BAC,0.0,0.0,0.0,0.0
"Gain on Sale of Security",BAC,0.0,0.0,0.0,0.0
"Other Non Interest Income",BAC,-3091000.0,-2799000.0,-1811000.0,-738000.0
"Credit Losses Provision",BAC,-4394000.0,-2543000.0,4594000.0,-11320000.0
"Non Interest Expense",BAC,65845000.0,61438000.0,59731000.0,55213000.0
"Occupancy And Equipment",BAC,7164000.0,7071000.0,7138000.0,7141000.0
"Professional Expense And Contract Services Expense",BAC,2159000.0,2142000.0,1775000.0,1694000.0
"Selling General and Administrative",BAC,49815000.0,45946000.0,45049000.0,41156000.0
"General & Administrative Expense",BAC,44280000.0,40468000.0,39229000.0,36022000.0
"Salaries and Wages",BAC,38330000.0,36447000.0,36140000.0,32725000.0
"Other G and A",BAC,5950000.0,4021000.0,3089000.0,3297000.0
"Selling & Marketing Expense",BAC,5535000.0,5478000.0,5820000.0,5134000.0
"Other Non Interest Expense",BAC,6707000.0,6279000.0,5769000.0,5222000.0
"Pretax Income",BAC,28342000.0,30969000.0,33976000.0,18995000.0
"Tax Provision",BAC,1827000.0,3441000.0,1998000.0,1101000.0
"Net Income Common Stockholders",BAC,24866000.0,26015000.0,30557000.0,16473000.0
"Net Income",BAC,26515000.0,27528000.0,31978000.0,17894000.0
"Net Income Including Non-Controlling Interests",BAC,26515000.0,27528000.0,31978000.0,17894000.0
"Net Income Continuous Operations",BAC,26515000.0,27528000.0,31978000.0,17894000.0
"Preferred Stock Dividends",BAC,1649000.0,1513000.0,1421000.0,1421000.0
"Diluted NI Available to Com Stockholders",BAC,24866000.0,26015000.0,30557000.0,16473000.0
"Basic EPS",BAC,3.1,3.21,3.6,1.88
"Diluted EPS",BAC,3.08,3.19,3.57,1.87
"Basic Average Shares",BAC,8028600.0,8113700.0,8493300.0,8753200.0
"Diluted Average Shares",BAC,8080500.0,8167500.0,8558400.0,8796900.0
"Interest Income after Provision for Loan Loss",BAC,52537000.0,49919000.0,47528000.0,32040000.0
"Net Income from Continuing & Discontinued Operation",BAC,26515000.0,27528000.0,31978000.0,17894000.0
"Normalized Income",BAC,26515000.0,27528000.0,31978000.0,17894000.0
"Total Money Market Investments",BAC,18679000.0,4560000.0,-90000.0,903000.0
