breakdown,bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
"Operating Cash Flow",BAC,44982000.0,-6327000.0,-7193000.0,37993000.0
"Cash Flow from Continuing Operating Activities",BAC,44982000.0,-6327000.0,-7193000.0,37993000.0
"Net Income from Continuing Operations",BAC,26515000.0,27528000.0,31978000.0,17894000.0
"Operating Gains Losses",BAC,405000.0,-32000.0,-22000.0,-411000.0
"Gain Loss On Investment Securities",BAC,405000.0,-32000.0,-22000.0,-411000.0
"Depreciation Amortization Depletion",BAC,2057000.0,1978000.0,1898000.0,1843000.0
"Depreciation & amortization",BAC,2057000.0,1978000.0,1898000.0,1843000.0
"Deferred Tax",BAC,-2011000.0,739000.0,-838000.0,-1737000.0
"Deferred Income Tax",BAC,-2011000.0,739000.0,-838000.0,-1737000.0
"Other non-cash items",BAC,8349000.0,7927000.0,-4300000.0,3278000.0
"Amortization of Financing Costs And Discounts",BAC,-397000.0,2072000.0,5837000.0,4101000.0
"Stock based compensation",BAC,2942000.0,2862000.0,2768000.0,2031000.0
"Provision for Loan Lease And Other Losses",BAC,4394000.0,2543000.0,-4594000.0,11320000.0
"Change in working capital",BAC,2728000.0,-51944000.0,-39920000.0,-326000.0
"Change in Payables And Accrued Expense",BAC,-17719000.0,23029000.0,16639000.0,-4385000.0
"Change in Accrued Expense",BAC,-17719000.0,23029000.0,16639000.0,-4385000.0
"Change in Other Current Assets",BAC,-23944000.0,20799000.0,-34455000.0,-12883000.0
"Change in Other Working Capital",BAC,44391000.0,-95772000.0,-22104000.0,16942000.0
"Investing Cash Flow",BAC,-35387000.0,-2529000.0,-313291000.0,-177665000.0
"Cash Flow from Continuing Investing Activities",BAC,-35387000.0,-2529000.0,-313291000.0,-177665000.0
"Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell",BAC,-13050000.0,-16854000.0,53338000.0,-29461000.0
"Proceeds Payment in Interest Bearing Deposits in Bank",BAC,-1087000.0,-115000.0,-598000.0,561000.0
"Net Investment Purchase And Sale",BAC,-4238000.0,84103000.0,-309745000.0,-189969000.0
"Purchase of Investment",BAC,-291057000.0,-159058000.0,-601134000.0,-452412000.0
"Sale of Investment",BAC,286819000.0,243161000.0,291389000.0,262443000.0
"Net Proceeds Payment for Loan",BAC,-11754000.0,-65051000.0,-52807000.0,44693000.0
"Proceeds from Loans",BAC,11081000.0,26757000.0,10396000.0,49922000.0
"Payment for Loans",BAC,-22835000.0,-91808000.0,-63203000.0,-5229000.0
"Net Other Investing Changes",BAC,-5258000.0,-4612000.0,-3479000.0,-3489000.0
"Financing Cash Flow",BAC,93345000.0,-106039000.0,291650000.0,355819000.0
"Cash Flow from Continuing Financing Activities",BAC,93345000.0,-106039000.0,291650000.0,355819000.0
"Change in Federal Funds And Securities Sold for Repurchase",BAC,88252000.0,3306000.0,22006000.0,5214000.0
"Net Issuance Payments of Debt",BAC,25987000.0,35034000.0,34281000.0,4172000.0
"Net Long Term Debt Issuance",BAC,20825000.0,31855000.0,29849000.0,9065000.0
"Long Term Debt Issuance",BAC,65396000.0,65910000.0,76675000.0,57013000.0
"Long Term Debt Payments",BAC,-44571000.0,-34055000.0,-46826000.0,-47948000.0
"Net Short Term Debt Issuance",BAC,5162000.0,3179000.0,4432000.0,-4893000.0
"Net Common Stock Issuance",BAC,-4576000.0,-5073000.0,-25126000.0,-7025000.0
"Common Stock Payments",BAC,-4576000.0,-5073000.0,-25126000.0,-7025000.0
"Net Preferred Stock Issuance",BAC,0.0,3772000.0,198000.0,1109000.0
"Preferred Stock Issuance",BAC,0.0,4426000.0,2169000.0,2181000.0
"Preferred Stock Payments",BAC,0.0,-654000.0,-1971000.0,-1072000.0
"Cash Dividends Paid",BAC,-9087000.0,-8576000.0,-8055000.0,-7727000.0
"Net Other Financing Charges",BAC,-717000.0,-312000.0,-620000.0,-601000.0
"End Cash Position",BAC,333073000.0,230203000.0,348221000.0,380463000.0
"Changes in Cash",BAC,102940000.0,-114895000.0,-28834000.0,216147000.0
"Effect of Exchange Rate Changes",BAC,-70000.0,-3123000.0,-3408000.0,2756000.0
"Beginning Cash Position",BAC,230203000.0,348221000.0,380463000.0,161560000.0
"Income Tax Paid Supplemental Data",BAC,3405000.0,2288000.0,2760000.0,2894000.0
"Interest Paid Supplemental Data",BAC,69604000.0,18526000.0,4506000.0,8662000.0
"Issuance of Capital Stock",BAC,0.0,4426000.0,2169000.0,2181000.0
"Issuance of Debt",BAC,65396000.0,65910000.0,76675000.0,57013000.0
"Repayment of Debt",BAC,-44571000.0,-34055000.0,-46826000.0,-47948000.0
"Repurchase of Capital Stock",BAC,-4576000.0,-5727000.0,-27097000.0,-8097000.0
"Free Cash Flow",BAC,44982000.0,-6327000.0,-7193000.0,37993000.0
"Operating Cash Flow",WFC,40358000.0,27048000.0,-11525000.0,2051000.0
"Cash Flow from Continuing Operating Activities",WFC,40358000.0,27048000.0,-11525000.0,2051000.0
"Net Income from Continuing Operations",WFC,19029000.0,13378000.0,23799000.0,3662000.0
"Depreciation Amortization Depletion",WFC,6271000.0,6832000.0,7890000.0,8219000.0
"Depreciation & amortization",WFC,6271000.0,6832000.0,7890000.0,8219000.0
"Deferred Tax",WFC,-50000.0,1239000.0,-1106000.0,-3289000.0
"Deferred Income Tax",WFC,-50000.0,1239000.0,-1106000.0,-3289000.0
"Other non-cash items",WFC,3577000.0,-24016000.0,-69824000.0,-52345000.0
"Asset Impairment Charge",WFC,851000.0,-1326000.0,-1188000.0,4321000.0
"Stock based compensation",WFC,12714959.061014263,214641227.3611557,125287530.36793894,1766000.0
"Provision for Loan Lease And Other Losses",WFC,5399000.0,1534000.0,-4155000.0,14129000.0
"Change in working capital",WFC,5281000.0,29407000.0,33059000.0,27354000.0
"Change in Payables And Accrued Expense",WFC,4615000.0,-860000.0,732000.0,1936000.0
"Change in Accrued Expense",WFC,4615000.0,-860000.0,732000.0,1936000.0
"Change in Deferred Charges",WFC,12714959.061014263,214641227.3611557,125287530.36793894,-3314000.0
"Change in Other Current Assets",WFC,-6838000.0,-9162000.0,15477000.0,-12304000.0
"Change in Other Working Capital",WFC,7504000.0,39429000.0,16850000.0,37722000.0
"Investing Cash Flow",WFC,16043000.0,-42476000.0,-7619000.0,122554000.0
"Cash Flow from Continuing Investing Activities",WFC,16043000.0,-42476000.0,-7619000.0,122554000.0
"Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell",WFC,-12729000.0,-704000.0,-551000.0,36468000.0
"Net Investment Purchase And Sale",WFC,14052000.0,19230000.0,-11247000.0,28663000.0
"Purchase of Investment",WFC,-36087000.0,-49448000.0,-189356000.0,-146977000.0
"Sale of Investment",WFC,50139000.0,68678000.0,178109000.0,175640000.0
"Net Investment Properties Purchase And Sale",WFC,12714959.061014263,214641227.3611557,125287530.36793894,1147000.0
"Sale of Investment Properties",WFC,12714959.061014263,214641227.3611557,125287530.36793894,1147000.0
"Net Proceeds Payment for Loan",WFC,14329000.0,-61807000.0,397000.0,56639000.0
"Proceeds from Loans",WFC,19442000.0,17619000.0,40832000.0,71004000.0
"Payment for Loans",WFC,-5113000.0,-79426000.0,-40435000.0,-14365000.0
"Net Other Investing Changes",WFC,391000.0,805000.0,3782000.0,784000.0
"Financing Cash Flow",WFC,20494000.0,-59645000.0,-11238000.0,-1243000.0
"Cash Flow from Continuing Financing Activities",WFC,20494000.0,-59645000.0,-11238000.0,-1243000.0
"Net Issuance Payments of Debt",WFC,64599000.0,50714000.0,-70449000.0,-72724000.0
"Net Long Term Debt Issuance",WFC,26185000.0,34150000.0,-45859000.0,-27211000.0
"Long Term Debt Issuance",WFC,49071000.0,53737000.0,1275000.0,38136000.0
"Long Term Debt Payments",WFC,-22886000.0,-19587000.0,-47134000.0,-65347000.0
"Net Short Term Debt Issuance",WFC,38414000.0,16564000.0,-24590000.0,-45513000.0
"Net Common Stock Issuance",WFC,-11851000.0,-6033000.0,-14464000.0,-3415000.0
"Common Stock Issuance",WFC,12714959.061014263,214641227.3611557,125287530.36793894,571000.0
"Common Stock Payments",WFC,-11851000.0,-6033000.0,-14464000.0,-3415000.0
"Net Preferred Stock Issuance",WFC,-3000.0,0.0,-919000.0,-486000.0
"Preferred Stock Issuance",WFC,1722000.0,0.0,5756000.0,3116000.0
"Preferred Stock Payments",WFC,-1725000.0,0.0,-6675000.0,-3602000.0
"Cash Dividends Paid",WFC,-5930000.0,-5293000.0,-3627000.0,-6142000.0
"Common Stock Dividend Paid",WFC,-4789000.0,-4178000.0,-2422000.0,-4852000.0
"Preferred Stock Dividend Paid",WFC,-1141000.0,-1115000.0,-1205000.0,-1290000.0
"Net Other Financing Charges",WFC,-509000.0,-539000.0,-361000.0,-231000.0
"End Cash Position",WFC,236052000.0,159157000.0,234230000.0,264612000.0
"Changes in Cash",WFC,76895000.0,-75073000.0,-30382000.0,123362000.0
"Beginning Cash Position",WFC,159157000.0,234230000.0,264612000.0,141250000.0
"Income Tax Paid Supplemental Data",WFC,12714959.061014263,3376000.0,3166000.0,1175000.0
"Interest Paid Supplemental Data",WFC,30431000.0,8289000.0,4384000.0,8414000.0
"Issuance of Capital Stock",WFC,1722000.0,0.0,5756000.0,3116000.0
"Issuance of Debt",WFC,49071000.0,53737000.0,1275000.0,38136000.0
"Repayment of Debt",WFC,-22886000.0,-19587000.0,-47134000.0,-65347000.0
"Repurchase of Capital Stock",WFC,-13576000.0,-6033000.0,-21139000.0,-7017000.0
"Free Cash Flow",WFC,40358000.0,27048000.0,-11525000.0,2051000.0
"Operating Cash Flow",JPM,12974000.0,107119000.0,78084000.0,-79910000.0
"Cash Flow from Continuing Operating Activities",JPM,12974000.0,107119000.0,78084000.0,-79910000.0
"Net Income from Continuing Operations",JPM,49552000.0,37676000.0,48334000.0,29131000.0
"Operating Gains Losses",JPM,-2775000.0,214641227.3611557,125287530.36793894,89357174.79968329
"Gain Loss On Sale of Business",JPM,-2775000.0,0.0,0.0,89357174.79968329
