tag,bank,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31
"Total charge-offs secured by 1-4 family residential properties",jpmorgan-chase-bank,2.02E8,1.27E8,7.0E7,1.7E7,7.4E7,6.4E7,5.0E7,2.9E7,9.6E7,7.3E7,5.5E7,3.0E7,2.31E8,1.9E8,1.09E8,5.7E7,2.07E8,1.56E8,1.14E8,6.3E7,2.99E8,2.36E8,1.85E8,9.5E7,4.5E8,3.63E8,2.34E8,1.48E8,5.58E8,4.14E8,2.71E8,1.42E8,7.35E8,6.04E8,3.9E8,2.1E8,1.036E9,7.93E8,5.38E8,2.99E8,1.624E9,1.324E9,9.52E8,5.33E8,3.457E9,2.993E9,1.563E9,8.31E8,3.852E9,2.943E9,2.014E9,1.037E9,6.433E9,4.626E9,3.391E9,2.022E9,8.241E9,6.046E9,3.961E9,1.794E9,3.889E9,2.591E9,1.471E9,6.54E8,7.87E8,4.41E8,2.32E8,9.8E7,2.33E8,1.53E8,1.0E8,5.6E7,1.49E8,1.15E8,7.5E7,4.0E7,1.29E8,1.9E7,1.1E7,5000000.0,2.6E7,1.8E7,1.2E7,6000000.0,4.8E7,2.9E7,4.5E7,2.0E7,2.1E7,2.5E7,2.6E7,4.9E7,6.4E7,6.3E7
"Loans secured by 1-4 family senior liens - total charge-offs",jpmorgan-chase-bank,1.71E8,1.04E8,5.4E7,7000000.0,3.8E7,3.5E7,2.7E7,1.5E7,3.6E7,2.8E7,2.2E7,1.2E7,9.5E7,7.5E7,4.1E7,2.2E7,6.9E7,5.5E7,3.8E7,2.1E7,1.05E8,8.6E7,7.6E7,3.1E7,1.37E8,1.12E8,8.1E7,4.8E7,1.7E8,1.25E8,7.9E7,4.0E7,2.67E8,2.19E8,1.41E8,8.5E7,3.79E8,2.64E8,1.63E8,9.2E7,4.96E8,4.1E8,3.03E8,1.7E8,1.083E9,9.62E8,5.27E8,2.76E8,1.32E9,9.97E8,6.73E8,3.01E8,2.911E9,1.896E9,1.428E9,8.8E8,3.521E9,2.602E9,1.634E9,6.94E8,1.712E9,1.13E9,6.21E8,2.84E8,3.57E8,2.19E8,1.1E8,4.5E7,1.04E8,6.5E7,4.1E7,2.2E7,7.1E7,5.5E7,2.9E7,1.5E7,7.4E7,1.5E7,9000000.0,4000000.0,2.0E7,1.3E7,9000000.0,4000000.0,4.3E7,5.845586125283843E8,5.52338071922366E8,4.73232138178025E8,3.6736980523875755E8,3.350101443115438E8,2.98879779258229E8,2.3248369899391672E8,2.2024706160801563E8,2.216757700148075E8
"Loans secured by 1-4 family junior liens - total charge-offs",jpmorgan-chase-bank,3000000.0,2000000.0,2000000.0,2000000.0,9000000.0,7000000.0,6000000.0,3000000.0,1.0E7,7000000.0,5000000.0,3000000.0,1.5E7,1.1E7,6000000.0,4000000.0,1.7E7,1.2E7,8000000.0,4000000.0,2.0E7,1.3E7,9000000.0,6000000.0,4.4E7,3.6E7,1.8E7,1.2E7,5.3E7,4.0E7,2.8E7,1.4E7,7.8E7,6.8E7,4.4E7,2.2E7,1.16E8,9.3E7,6.5E7,3.6E7,2.44E8,1.99E8,1.46E8,8.2E7,5.61E8,4.98E8,2.5E8,1.29E8,6.55E8,5.0E8,3.49E8,1.87E8,1.063E9,8.49E8,6.03E8,4.17E8,1.73E9,1.285E9,8.74E8,4.27E8,9.93E8,6.93E8,4.07E8,1.79E8,1.74E8,7.6E7,4.6E7,2.0E7,3.6E7,2.7E7,2.0E7,1.4E7,1.9E7,1.4E7,1.3E7,8000000.0,2.2E7,2000000.0,2000000.0,1000000.0,5000000.0,4000000.0,2000000.0,1000000.0,4000000.0,5.845586125283843E8,5.52338071922366E8,4.73232138178025E8,3.6736980523875755E8,3.350101443115438E8,2.98879779258229E8,2.3248369899391672E8,2.2024706160801563E8,2.216757700148075E8
"Total charge offs - home equity lines of credit",jpmorgan-chase-bank,2.8E7,2.1E7,1.4E7,8000000.0,2.7E7,2.2E7,1.7E7,1.1E7,5.0E7,3.8E7,2.8E7,1.5E7,1.21E8,1.04E8,6.2E7,3.1E7,1.21E8,8.9E7,6.8E7,3.8E7,1.74E8,1.37E8,1.0E8,5.8E7,2.69E8,2.15E8,1.35E8,8.8E7,3.35E8,2.49E8,1.64E8,8.8E7,3.9E8,3.17E8,2.05E8,1.03E8,5.41E8,4.36E8,3.1E8,1.71E8,8.84E8,7.15E8,5.03E8,2.81E8,1.813E9,1.533E9,7.86E8,4.26E8,1.877E9,1.446E9,9.92E8,5.49E8,2.459E9,1.881E9,1.36E9,7.25E8,2.99E9,2.159E9,1.453E9,6.73E8,1.184E9,7.68E8,4.43E8,1.91E8,2.56E8,1.46E8,7.6E7,3.3E7,9.3E7,6.1E7,3.9E7,2.0E7,5.9E7,4.6E7,3.3E7,1.7E7,3.3E7,2000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,2000000.0,9000000.0,2000000.0,1000000.0,3000000.0,3000000.0,4000000.0,4000000.0,5000000.0
"Secured by 1-4 family residential properties - total recoveries",jpmorgan-chase-bank,2.55E8,1.89E8,1.16E8,3.8E7,3.0E8,2.57E8,1.85E8,9.6E7,3.72E8,2.78E8,1.86E8,8.2E7,3.98E8,3.08E8,2.35E8,1.76E8,2.99E8,2.28E8,1.48E8,6.5E7,5.99E8,4.98E8,3.28E8,8.0E7,3.99E8,2.93E8,1.8E8,9.7E7,3.56E8,2.65E8,1.72E8,8.3E7,4.53E8,3.8E8,2.04E8,1.07E8,5.41E8,4.14E8,2.49E8,1.21E8,5.46E8,4.15E8,2.42E8,1.07E8,2.37E8,1.85E8,1.26E8,6.5E7,2.73E8,2.02E8,1.35E8,6.9E7,2.1E8,1.57E8,8.8E7,4.2E7,8.8E7,6.0E7,3.6E7,1.6E7,3.5E7,2.2E7,1.5E7,7000000.0,3.1E7,2.3E7,1.6E7,8000000.0,3.0E7,2.3E7,1.7E7,9000000.0,2.7E7,2.2E7,1.4E7,8000000.0,2.2E7,7000000.0,4000000.0,2000000.0,6000000.0,5000000.0,2000000.0,1000000.0,6000000.0,3000000.0,2000000.0,7000000.0,0.0,1000000.0,2000000.0,0.0,0.0,0.0
"Loans secured by 1-4 family senior liens - total recoveries",jpmorgan-chase-bank,1.63E8,1.16E8,6.4E7,1.3E7,1.49E8,1.33E8,9.4E7,4.9E7,1.44E8,1.06E8,7.2E7,3.1E7,2.18E8,1.82E8,1.54E8,1.33E8,1.19E8,9.2E7,6.0E7,2.6E7,4.05E8,3.5E8,2.32E8,3.4E7,1.53E8,1.1E8,7.8E7,4.2E7,1.37E8,1.0E8,6.5E7,3.5E7,2.34E8,2.03E8,9.7E7,6.2E7,3.14E8,2.4E8,1.38E8,6.9E7,3.02E8,2.25E8,1.17E8,4.6E7,5.4E7,4.3E7,3.0E7,1.5E7,8.2E7,5.9E7,4.1E7,2.5E7,4.9E7,3.7E7,1.3E7,7000000.0,1.8E7,1.1E7,8000000.0,1.0E7,1.3E7,6000000.0,4000000.0,2000000.0,8000000.0,6000000.0,4000000.0,2000000.0,1.5E7,1.2E7,9000000.0,5000000.0,1.0E7,8000000.0,4000000.0,2000000.0,9000000.0,6000000.0,3000000.0,2000000.0,4000000.0,3000000.0,2000000.0,1000000.0,4000000.0,5.845586125283843E8,5.52338071922366E8,4.73232138178025E8,3.6736980523875755E8,3.350101443115438E8,2.98879779258229E8,2.3248369899391672E8,2.2024706160801563E8,2.216757700148075E8
"Loans secured by 1-4 family junior liens - total recoveries",jpmorgan-chase-bank,1.2E7,1.0E7,7000000.0,3000000.0,2.4E7,2.0E7,1.6E7,8000000.0,4.3E7,3.2E7,2.1E7,9000000.0,3.4E7,2.4E7,1.6E7,8000000.0,3.1E7,2.3E7,1.5E7,6000000.0,2.9E7,2.2E7,1.4E7,6000000.0,4.9E7,3.7E7,1.9E7,1.1E7,4.5E7,3.4E7,2.3E7,1.1E7,4.6E7,3.8E7,2.2E7,9000000.0,4.9E7,3.9E7,2.6E7,1.2E7,6.3E7,4.8E7,3.3E7,1.6E7,5.6E7,4.5E7,3.1E7,1.8E7,6.0E7,4.5E7,2.9E7,1.4E7,4.8E7,3.5E7,2.4E7,1.0E7,2.2E7,1.6E7,1.0E7,1000000.0,7000000.0,5000000.0,3000000.0,1000000.0,9000000.0,6000000.0,4000000.0,2000000.0,7000000.0,5000000.0,4000000.0,2000000.0,7000000.0,5000000.0,5000000.0,3000000.0,8000000.0,1000000.0,1000000.0,0.0,1000000.0,1000000.0,0.0,0.0,1000000.0,5.845586125283843E8,5.52338071922366E8,4.73232138178025E8,3.6736980523875755E8,3.350101443115438E8,2.98879779258229E8,2.3248369899391672E8,2.2024706160801563E8,2.216757700148075E8
"Home equity lines of credit - total recoveries",jpmorgan-chase-bank,8.0E7,6.3E7,4.5E7,2.2E7,1.27E8,1.04E8,7.5E7,3.9E7,1.85E8,1.4E8,9.3E7,4.2E7,1.46E8,1.02E8,6.5E7,3.5E7,1.49E8,1.13E8,7.3E7,3.3E7,1.65E8,1.26E8,8.2E7,4.0E7,1.97E8,1.46E8,8.3E7,4.4E7,1.74E8,1.31E8,8.4E7,3.7E7,1.73E8,1.39E8,8.5E7,3.6E7,1.78E8,1.35E8,8.5E7,4.0E7,1.81E8,1.42E8,9.2E7,4.5E7,1.27E8,9.7E7,6.5E7,3.2E7,1.31E8,9.8E7,6.5E7,3.0E7,1.13E8,8.5E7,5.1E7,2.5E7,4.8E7,3.3E7,1.8E7,5000000.0,1.5E7,1.1E7,8000000.0,4000000.0,1.4E7,1.1E7,8000000.0,4000000.0,8000000.0,6000000.0,4000000.0,2000000.0,1.0E7,9000000.0,5000000.0,3000000.0,5000000.0,0.0,0.0,0.0,1000000.0,1000000.0,0.0,0.0,1000000.0,1000000.0,2000000.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0
"Secured by 1-4 family residential properties- net charge-offs",jpmorgan-chase-bank,-5.3E7,-6.2E7,-4.6E7,-2.1E7,-2.26E8,-1.93E8,-1.35E8,-6.7E7,-2.76E8,-2.05E8,-1.31E8,-5.2E7,-1.67E8,-1.18E8,-1.26E8,-1.19E8,-9.2E7,-7.2E7,-3.4E7,-2000000.0,-3.0E8,-2.62E8,-1.43E8,1.5E7,5.1E7,7.0E7,5.4E7,5.1E7,2.02E8,1.49E8,9.9E7,5.9E7,2.82E8,2.24E8,1.86E8,1.03E8,4.95E8,3.79E8,2.89E8,1.78E8,1.078E9,9.09E8,7.1E8,4.26E8,3.22E9,2.808E9,1.437E9,7.66E8,3.579E9,2.741E9,1.879E9,9.68E8,6.223E9,4.469E9,3.303E9,1.98E9,8.153E9,5.986E9,3.925E9,1.778E9,3.854E9,2.569E9,1.456E9,6.47E8,7.56E8,4.18E8,2.16E8,9.0E7,2.03E8,1.3E8,8.3E7,4.7E7,1.22E8,9.3E7,6.1E7,3.2E7,1.07E8,1.2E7,7000000.0,3000000.0,2.0E7,1.3E7,1.0E7,5000000.0,4.2E7,2.6E7,4.3E7,1.3E7,2.1E7,2.4E7,2.4E7,4.9E7,6.4E7,6.3E7
"Loans secured by 1-4 family senior liens - net charge-offs",jpmorgan-chase-bank,8000000.0,-1.2E7,-1.0E7,-6000000.0,-1.11E8,-9.8E7,-6.7E7,-3.4E7,-1.08E8,-7.8E7,-5.0E7,-1.9E7,-1.23E8,-1.07E8,-1.13E8,-1.11E8,-5.0E7,-3.7E7,-2.2E7,-5000000.0,-3.0E8,-2.64E8,-1.56E8,-3000000.0,-1.6E7,2000000.0,3000000.0,6000000.0,3.3E7,2.5E7,1.4E7,5000000.0,3.3E7,1.6E7,4.4E7,2.3E7,6.5E7,2.4E7,2.5E7,2.3E7,1.94E8,1.85E8,1.86E8,1.24E8,1.029E9,9.19E8,4.97E8,2.61E8,1.238E9,9.38E8,6.32E8,2.76E8,2.862E9,1.859E9,1.415E9,8.73E8,3.503E9,2.591E9,1.626E9,6.84E8,1.699E9,1.124E9,6.17E8,2.82E8,3.49E8,2.13E8,1.06E8,4.3E7,8.9E7,5.3E7,3.2E7,1.7E7,6.1E7,4.7E7,2.5E7,1.3E7,6.5E7,9000000.0,6000000.0,2000000.0,1.6E7,1.0E7,7000000.0,3000000.0,3.9E7,5.845586125283843E8,5.52338071922366E8,4.73232138178025E8,3.6736980523875755E8,3.350101443115438E8,2.98879779258229E8,2.3248369899391672E8,2.2024706160801563E8,2.216757700148075E8
