Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Operating Cash Flow,BAC,0.5217019211937791,0.2610392260450297,0.5210179261132107,0.46934387333957195
Cash Flow from Continuing Operating Activities,BAC,0.5217019211937791,0.2610392260450297,0.5210179261132107,0.46934387333957195
Net Income from Continuing Operations,BAC,0.5216093181115603,0.26129781750867,0.5211927556506181,0.46924754787496364
Operating Gains Losses,BAC,0.5214783890772431,0.26108730855170864,0.5210499320005444,0.46915982024524805
Gain Loss On Investment Securities,BAC,0.5214783890772431,0.26108730855170864,0.5210499320005444,0.46915982024524805
Depreciation Amortization Depletion,BAC,0.5214866730590391,0.26110266134573956,0.5210585014195488,0.4691706226531901
Depreciation & amortization,BAC,0.5214866730590391,0.26110266134573956,0.5210585014195488,0.4691706226531901
Deferred Tax,BAC,0.5214662740045923,0.2610931976085235,0.5210462899974675,0.46915346532380564
Deferred Income Tax,BAC,0.5214662740045923,0.2610931976085235,0.5210462899974675,0.46915346532380564
Other non-cash items,BAC,0.5215182243989059,0.2611481010331475,0.5210308382638252,0.46917749996259417
Amortization of Financing Costs And Discounts,BAC,0.521474367434749,0.2611033793371022,0.5210760821182251,0.46918144423133257
Stock based compensation,BAC,0.5214911109064297,0.2611094135198308,0.5210623844375352,0.4691715236526103
Provision for Loan Lease And Other Losses,BAC,0.5214983919848605,0.2611069769321214,0.5210295260715402,0.46921604165055775
Change in working capital,BAC,0.521490037799829,0.26069079400258754,0.520871857688337,0.46916022761200715
Change in Payables And Accrued Expense,BAC,0.5213875059742954,0.2612634532199411,0.5211242940266031,0.4691407746511213
Change in Accrued Expense,BAC,0.5213875059742954,0.2612634532199411,0.5211242940266031,0.4691407746511213
Change in Other Current Assets,BAC,0.5213562906070558,0.26124642002059334,0.5208962492898261,0.46910004756030876
Change in Other Working Capital,BAC,0.5216989576143353,0.26035602671065355,0.5209513747555156,0.46924298536726144
Investing Cash Flow,BAC,0.5212989094910202,0.2610682359513628,0.5196517375619536,0.46831032156851427
Cash Flow from Continuing Investing Activities,BAC,0.5212989094910202,0.2610682359513628,0.5196517375619536,0.46831032156851427
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,BAC,0.5214109187533542,0.26095881865062,0.5212880904370422,0.46902059666462864
Proceeds Payment in Interest Bearing Deposits in Bank,BAC,0.5214709074181393,0.26108667458061185,0.5210473611748431,0.46916447860395244
Net Investment Purchase And Sale,BAC,0.5214551066756217,0.2617299490123016,0.5196675642076775,0.46825135403199303
Purchase of Investment,BAC,0.5200168479742114,0.259872635206653,0.5183670254398245,0.46699358280416153
Sale of Investment,BAC,0.5229146168993389,0.2629448667799489,0.5223505689596568,0.4704195612111737
Net Proceeds Payment for Loan,BAC,0.5214174175671602,0.26059068003673513,0.5208143399265089,0.46937598342529135
Proceeds from Loans,BAC,0.5215319240588735,0.26129192845185517,0.5210964300251215,0.4694010436698029
Payment for Loans,BAC,0.5213618517062154,0.2603863045591802,0.5207679400931913,0.4691367297388307
Net Other Investing Changes,BAC,0.5214499918684595,0.2610523255682949,0.5210345025830974,0.4691450687760175
Financing Cash Flow,BAC,0.5219444382710171,0.26027760524980004,0.5223517338650527,0.47086707037000053
Cash Flow from Continuing Financing Activities,BAC,0.5219444382710171,0.26027760524980004,0.5223517338650527,0.47086707037000053
Change in Federal Funds And Securities Sold for Repurchase,BAC,0.5219188993368241,0.26111280488328836,0.5211482482306639,0.4691867783396021
Net Issuance Payments of Debt,BAC,0.5216066704466763,0.26135514988279746,0.5212030344901842,0.4691817845023902
