Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Total Revenue,BAC,0.11488628912872914,0.05924484892796259,0.11924994241067342,0.08502212789177353
Net Interest Income,BAC,0.10869948844887921,0.05334127553478207,0.11014234819295737,0.07506121046123101
Interest Income,BAC,0.11959226829651606,0.05613452388544833,0.11107679418363578,0.07700411849258684
Interest Income from Loans And Lease,BAC,0.10872815717711957,0.05132057162174724,0.10744984995219296,0.07285704330736097
Interest Income from Loans,BAC,0.11187970540019221,0.05430122927170815,0.11183280180030235,0.07285704330736097
Interest Income from Securities,BAC,0.10455039561359546,0.04919871440824555,0.10485911915152776,0.06810642647835223
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,BAC,0.10301743563721968,0.04668544394280003,0.1016569948153828,0.06503202550229192
Other Interest Income,BAC,0.10402470323409993,0.0470853329520632,0.10213506511538376,0.06546478021517264
Interest Expense,BAC,0.11113558763614305,0.04884509469713549,0.10260919094096226,0.06676162703488613
Interest Expense for Deposit,BAC,0.10412912870535886,0.04670739754372553,0.10178065408852661,0.06527769411659103
Interest Expense for Short Term Debt,BAC,0.10478123086585205,0.047021417405064915,0.10160413885812197,0.06505186796729301
Interest Expense for Long Term Debt And Capital Securities,BAC,0.10240737104197013,0.04700627219936315,0.10235141953745515,0.06583942485197876
Other Interest Expense,BAC,0.10054628038848058,0.04626554658838957,0.10189721330771002,0.06504879710961427
Non Interest Income,BAC,0.10642960846835611,0.05195541973964975,0.11078233916799989,0.07477963643407283
Fees And Commissions,BAC,0.10429817022213363,0.049996408224152376,0.10767271275706139,0.07128429173620389
Fees & Commission Income,BAC,0.10429817022213363,0.049996408224152376,0.10767271275706139,0.07128429173620389
Service Charge on Depositor Accounts,BAC,0.10108712411657983,0.04694180086499967,0.10315471175358709,0.06650556474844362
Trust Fees by Commissions,BAC,0.1020256164742099,0.0477403283619543,0.10418520569645218,0.06734816085152522
Securities Activities,BAC,0.10077176810593585,0.04657275805450523,0.10245594810965007,0.06573194483322291
Credit Card,BAC,0.10114208489092663,0.04689705998210087,0.10290108204822355,0.06615477831360309
Investment Banking Profit,BAC,0.10094214650641097,0.0467219869620621,0.10342747215989952,0.06651477732147983
