Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Operating Cash Flow,BAC,"44,982,000","-6,327,000","-7,193,000","37,993,000"
Cash Flow from Continuing Operating Activities,BAC,"44,982,000","-6,327,000","-7,193,000","37,993,000"
Net Income from Continuing Operations,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Operating Gains Losses,BAC,"405,000","-32,000","-22,000","-411,000"
Gain Loss On Investment Securities,BAC,"405,000","-32,000","-22,000","-411,000"
Depreciation Amortization Depletion,BAC,"2,057,000","1,978,000","1,898,000","1,843,000"
Depreciation & amortization,BAC,"2,057,000","1,978,000","1,898,000","1,843,000"
Deferred Tax,BAC,"-2,011,000","739,000","-838,000","-1,737,000"
Deferred Income Tax,BAC,"-2,011,000","739,000","-838,000","-1,737,000"
Other non-cash items,BAC,"8,349,000","7,927,000","-4,300,000","3,278,000"
Amortization of Financing Costs And Discounts,BAC,"-397,000","2,072,000","5,837,000","4,101,000"
Stock based compensation,BAC,"2,942,000","2,862,000","2,768,000","2,031,000"
Provision for Loan Lease And Other Losses,BAC,"4,394,000","2,543,000","-4,594,000","11,320,000"
Change in working capital,BAC,"2,728,000","-51,944,000","-39,920,000","-326,000"
Change in Payables And Accrued Expense,BAC,"-17,719,000","23,029,000","16,639,000","-4,385,000"
Change in Accrued Expense,BAC,"-17,719,000","23,029,000","16,639,000","-4,385,000"
Change in Other Current Assets,BAC,"-23,944,000","20,799,000","-34,455,000","-12,883,000"
Change in Other Working Capital,BAC,"44,391,000","-95,772,000","-22,104,000","16,942,000"
Investing Cash Flow,BAC,"-35,387,000","-2,529,000","-313,291,000","-177,665,000"
Cash Flow from Continuing Investing Activities,BAC,"-35,387,000","-2,529,000","-313,291,000","-177,665,000"
Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,BAC,"-13,050,000","-16,854,000","53,338,000","-29,461,000"
Proceeds Payment in Interest Bearing Deposits in Bank,BAC,"-1,087,000","-115,000","-598,000","561,000"
Net Investment Purchase And Sale,BAC,"-4,238,000","84,103,000","-309,745,000","-189,969,000"
Purchase of Investment,BAC,"-291,057,000","-159,058,000","-601,134,000","-452,412,000"
