Breakdown,Bank,12/31/2023,12/31/2022,12/31/2021,12/31/2020
Total Revenue,BAC,"98,581,000","94,950,000","89,113,000","85,528,000"
Net Interest Income,BAC,"56,931,000","52,462,000","42,934,000","43,360,000"
Interest Income,BAC,"130,262,000","72,565,000","47,672,000","51,585,000"
Interest Income from Loans And Lease,BAC,"57,124,000","37,919,000","29,282,000","34,029,000"
Interest Income from Loans,BAC,-,-,-,"34,029,000"
Interest Income from Securities,BAC,"28,999,000","22,648,000","16,146,000","13,918,000"
Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,BAC,"18,679,000","4,560,000","-90,000","903,000"
Other Interest Income,BAC,"25,460,000","7,438,000","2,334,000","2,735,000"
Interest Expense,BAC,"73,331,000","20,103,000","4,738,000","8,225,000"
Interest Expense for Deposit,BAC,"26,163,000","4,718,000","537,000","1,943,000"
Interest Expense for Short Term Debt,BAC,"30,553,000","6,978,000","-358,000","987,000"
Interest Expense for Long Term Debt And Capital Securities,BAC,"14,572,000","6,869,000","3,431,000","4,321,000"
Other Interest Expense,BAC,"2,043,000","1,538,000","1,128,000","974,000"
Non Interest Income,BAC,"41,650,000","42,488,000","46,179,000","42,168,000"
Fees And Commissions,BAC,"27,301,000","28,389,000","30,412,000","27,371,000"
Fees & Commission Income,BAC,"27,301,000","28,389,000","30,412,000","27,371,000"
Service Charge on Depositor Accounts,BAC,"5,684,000","6,405,000","7,504,000","7,141,000"
Trust Fees by Commissions,BAC,"12,002,000","12,152,000","12,729,000","10,708,000"
Securities Activities,BAC,"3,561,000","3,749,000","3,961,000","3,866,000"
Credit Card,BAC,"6,054,000","6,083,000","6,218,000","5,656,000"
Investment Banking Profit,BAC,"4,708,000","4,823,000","8,887,000","7,180,000"
Trading Gain Loss,BAC,"12,732,000","12,075,000","8,691,000","8,355,000"
Gain Losson Saleof Assets,BAC,0,0,0,0
Gain on Sale of Security,BAC,0,0,0,0
Other Non Interest Income,BAC,"-3,091,000","-2,799,000","-1,811,000","-738,000"
Credit Losses Provision,BAC,"-4,394,000","-2,543,000","4,594,000","-11,320,000"
Non Interest Expense,BAC,"65,845,000","61,438,000","59,731,000","55,213,000"
Occupancy And Equipment,BAC,"7,164,000","7,071,000","7,138,000","7,141,000"
Professional Expense And Contract Services Expense,BAC,"2,159,000","2,142,000","1,775,000","1,694,000"
Selling General and Administrative,BAC,"49,815,000","45,946,000","45,049,000","41,156,000"
General & Administrative Expense,BAC,"44,280,000","40,468,000","39,229,000","36,022,000"
Salaries and Wages,BAC,"38,330,000","36,447,000","36,140,000","32,725,000"
Other G and A,BAC,"5,950,000","4,021,000","3,089,000","3,297,000"
Selling & Marketing Expense,BAC,"5,535,000","5,478,000","5,820,000","5,134,000"
Other Non Interest Expense,BAC,"6,707,000","6,279,000","5,769,000","5,222,000"
Pretax Income,BAC,"28,342,000","30,969,000","33,976,000","18,995,000"
Tax Provision,BAC,"1,827,000","3,441,000","1,998,000","1,101,000"
Net Income Common Stockholders,BAC,"24,866,000","26,015,000","30,557,000","16,473,000"
Net Income,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Net Income Including Non-Controlling Interests,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Net Income Continuous Operations,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Preferred Stock Dividends,BAC,"1,649,000","1,513,000","1,421,000","1,421,000"
Diluted NI Available to Com Stockholders,BAC,"24,866,000","26,015,000","30,557,000","16,473,000"
Basic EPS,BAC,3.10,3.21,3.60,1.88
Diluted EPS,BAC,3.08,3.19,3.57,1.87
Basic Average Shares,BAC,"8,028,600","8,113,700","8,493,300","8,753,200"
Diluted Average Shares,BAC,"8,080,500","8,167,500","8,558,400","8,796,900"
Interest Income after Provision for Loan Loss,BAC,"52,537,000","49,919,000","47,528,000","32,040,000"
Net Income from Continuing & Discontinued Operation,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Normalized Income,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Total Money Market Investments,BAC,"18,679,000","4,560,000","-90,000","903,000"
Reconciled Depreciation,BAC,"2,057,000","1,978,000","1,898,000","1,843,000"
Net Income from Continuing Operation Net Minority Interest,BAC,"26,515,000","27,528,000","31,978,000","17,894,000"
Tax Rate for Calcs,BAC,0,0,0,0
Tax Effect of Unusual Items,BAC,0,0,0,0
Total Revenue,WFC,"82,597,000","74,368,000","79,166,000","74,264,000"
Net Interest Income,WFC,"52,375,000","44,950,000","35,779,000","39,956,000"
Interest Income,WFC,"85,118,000","54,024,000","39,694,000","47,919,000"
Interest Income from Loans And Lease,WFC,"57,518,000","38,228,000","29,499,000","35,177,000"
Interest Income from Loans,WFC,"57,518,000","38,228,000","29,499,000","35,177,000"
Interest Income from Securities,WFC,"16,790,000","12,488,000","9,861,000","11,788,000"
Other Interest Income,WFC,"10,810,000","3,308,000","334,000","954,000"
Interest Expense,WFC,"32,743,000","9,074,000","3,915,000","7,963,000"
Interest Expense for Deposit,WFC,"16,503,000","2,349,000","388,000","2,804,000"
Interest Expense for Short Term Debt,WFC,"3,848,000","582,000","-41,000","250,000"
Interest Expense for Long Term Debt And Capital Securities,WFC,"11,572,000","5,505,000","3,173,000","4,471,000"
Other Interest Expense,WFC,"820,000","638,000","395,000","438,000"
Non Interest Income,WFC,"30,222,000","29,418,000","43,387,000","34,308,000"
Fees And Commissions,WFC,"21,877,000","22,847,000","24,599,000","22,254,000"
Fees & Commission Income,WFC,"21,877,000","22,847,000","24,599,000","22,393,000"
Service Charge on Depositor Accounts,WFC,"6,576,000","7,246,000","7,114,000","6,602,000"
Trust Fees by Commissions,WFC,"8,670,000","9,004,000","11,011,000","9,863,000"
Securities Activities,WFC,-,-,-,"9,375,000"
Credit Card,WFC,"4,256,000","4,355,000","4,175,000","3,544,000"
Other Customer Services,WFC,"2,375,000","2,242,000","2,299,000","2,384,000"
Fees & Commission Expense,WFC,-,-,-,"139,000"
Investment Banking Profit,WFC,"1,649,000","1,439,000","2,354,000","1,865,000"
Trading Gain Loss,WFC,"4,368,000","1,461,000","7,264,000","2,710,000"
Gain Losson Saleof Assets,WFC,"393,000","850,000","4,762,000","3,632,000"
Gain on Sale of Security,WFC,0,0,0,"-1,800,000"
Gain on Saleof Loans,WFC,"393,000","850,000","4,762,000","5,432,000"
Other Non Interest Income,WFC,"1,935,000","2,821,000","4,408,000","3,847,000"
Credit Losses Provision,WFC,"-5,399,000","-1,534,000","4,155,000","-14,129,000"
Non Interest Expense,WFC,"55,562,000","57,205,000","53,758,000","56,131,000"
Occupancy And Equipment,WFC,"2,884,000","2,881,000","2,968,000","3,263,000"
Net Occupancy Expense,WFC,"2,884,000","2,881,000","2,968,000","3,263,000"
Equipment,WFC,-,-,-,"3,099,000"
Professional Expense And Contract Services Expense,WFC,"5,085,000","5,188,000","5,723,000","6,706,000"
Selling General and Administrative,WFC,"36,641,000","34,845,000","36,141,000","35,411,000"
General & Administrative Expense,WFC,"35,829,000","34,340,000","35,541,000","34,811,000"
Salaries and Wages,WFC,"35,829,000","34,340,000","35,541,000","34,811,000"
Rental & Landing Fees,WFC,-,-,-,-
Selling & Marketing Expense,WFC,"812,000","505,000","600,000","600,000"
Other Non Interest Expense,WFC,"10,952,000","14,291,000","8,926,000","10,751,000"
Special Income Charges,WFC,-,"-5,000","-76,000","-1,499,000"
Restructuring & Mergers Acquisition,WFC,-,"5,000","76,000","1,499,000"
Other Special Charges,WFC,-,-,-,"-71,000"
Pretax Income,WFC,"21,636,000","15,629,000","29,563,000","2,505,000"
Tax Provision,WFC,"2,607,000","2,251,000","5,764,000","-1,157,000"
Net Income Common Stockholders,WFC,"17,982,000","12,562,000","20,818,000","1,786,000"
Net Income,WFC,"19,142,000","13,677,000","22,109,000","3,377,000"
Net Income Including Non-Controlling Interests,WFC,"19,029,000","13,378,000","23,799,000","3,662,000"
