Tag,Bank,2023-12-31  ,2023-09-30  ,2023-06-30  ,2023-03-31  ,2022-12-31  ,2022-09-30  ,2022-06-30  ,2022-03-31  ,2021-12-31  ,2021-09-30  ,2021-06-30  ,2021-03-31  ,2020-12-31  ,2020-09-30  ,2020-06-30  ,2020-03-31  ,2019-12-31  ,2019-09-30  ,2019-06-30  ,2019-03-31  ,2018-12-31  ,2018-09-30  ,2018-06-30  ,2018-03-31  ,2017-12-31  ,2017-09-30  ,2017-06-30  ,2017-03-31  ,2016-12-31  ,2016-09-30  ,2016-06-30  ,2016-03-31  ,2015-12-31  ,2015-09-30  ,2015-06-30  ,2015-03-31  ,2014-12-31  ,2014-09-30  ,2014-06-30  ,2014-03-31  ,2013-12-31  ,2013-09-30  ,2013-06-30  ,2013-03-31  ,2012-12-31  ,2012-09-30  ,2012-06-30  ,2012-03-31  ,2011-12-31  ,2011-09-30  ,2011-06-30  ,2011-03-31  ,2010-12-31  ,2010-09-30  ,2010-06-30  ,2010-03-31  ,2009-12-31  ,2009-09-30  ,2009-06-30  ,2009-03-31  ,2008-12-31  ,2008-09-30  ,2008-06-30  ,2008-03-31  ,2007-12-31  ,2007-09-30  ,2007-06-30  ,2007-03-31  ,2006-12-31  ,2006-09-30  ,2006-06-30  ,2006-03-31  ,2005-12-31  ,2005-09-30  ,2005-06-30  ,2005-03-31  ,2004-12-31  ,2004-09-30  ,2004-06-30  ,2004-03-31  ,2003-12-31  ,2003-09-30  ,2003-06-30  ,2003-03-31  ,2002-12-31  ,2001-12-31  ,2000-12-31  ,1999-12-31  ,1998-12-31  ,1997-12-31  ,1996-12-31  ,1995-12-31  ,1994-12-31  ,1993-12-31  
Total charge-offs secured by 1-4 family residential properties,jpmorgan-chase-bank,"$202,000,000","$127,000,000","$70,000,000","$17,000,000","$74,000,000","$64,000,000","$50,000,000","$29,000,000","$96,000,000","$73,000,000","$55,000,000","$30,000,000","$231,000,000","$190,000,000","$109,000,000","$57,000,000","$207,000,000","$156,000,000","$114,000,000","$63,000,000","$299,000,000","$236,000,000","$185,000,000","$95,000,000","$450,000,000","$363,000,000","$234,000,000","$148,000,000","$558,000,000","$414,000,000","$271,000,000","$142,000,000","$735,000,000","$604,000,000","$390,000,000","$210,000,000","$1,036,000,000","$793,000,000","$538,000,000","$299,000,000","$1,624,000,000","$1,324,000,000","$952,000,000","$533,000,000","$3,457,000,000","$2,993,000,000","$1,563,000,000","$831,000,000","$3,852,000,000","$2,943,000,000","$2,014,000,000","$1,037,000,000","$6,433,000,000","$4,626,000,000","$3,391,000,000","$2,022,000,000","$8,241,000,000","$6,046,000,000","$3,961,000,000","$1,794,000,000","$3,889,000,000","$2,591,000,000","$1,471,000,000","$654,000,000","$787,000,000","$441,000,000","$232,000,000","$98,000,000","$233,000,000","$153,000,000","$100,000,000","$56,000,000","$149,000,000","$115,000,000","$75,000,000","$40,000,000","$129,000,000","$19,000,000","$11,000,000","$5,000,000","$26,000,000","$18,000,000","$12,000,000","$6,000,000","$48,000,000","$29,000,000","$45,000,000","$20,000,000","$21,000,000","$25,000,000","$26,000,000","$49,000,000","$64,000,000","$63,000,000"
Loans secured by 1-4 family senior liens - total charge-offs,jpmorgan-chase-bank,"$171,000,000","$104,000,000","$54,000,000","$7,000,000","$38,000,000","$35,000,000","$27,000,000","$15,000,000","$36,000,000","$28,000,000","$22,000,000","$12,000,000","$95,000,000","$75,000,000","$41,000,000","$22,000,000","$69,000,000","$55,000,000","$38,000,000","$21,000,000","$105,000,000","$86,000,000","$76,000,000","$31,000,000","$137,000,000","$112,000,000","$81,000,000","$48,000,000","$170,000,000","$125,000,000","$79,000,000","$40,000,000","$267,000,000","$219,000,000","$141,000,000","$85,000,000","$379,000,000","$264,000,000","$163,000,000","$92,000,000","$496,000,000","$410,000,000","$303,000,000","$170,000,000","$1,083,000,000","$962,000,000","$527,000,000","$276,000,000","$1,320,000,000","$997,000,000","$673,000,000","$301,000,000","$2,911,000,000","$1,896,000,000","$1,428,000,000","$880,000,000","$3,521,000,000","$2,602,000,000","$1,634,000,000","$694,000,000","$1,712,000,000","$1,130,000,000","$621,000,000","$284,000,000","$357,000,000","$219,000,000","$110,000,000","$45,000,000","$104,000,000","$65,000,000","$41,000,000","$22,000,000","$71,000,000","$55,000,000","$29,000,000","$15,000,000","$74,000,000","$15,000,000","$9,000,000","$4,000,000","$20,000,000","$13,000,000","$9,000,000","$4,000,000","$43,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA
Loans secured by 1-4 family junior liens - total charge-offs,jpmorgan-chase-bank,"$3,000,000","$2,000,000","$2,000,000","$2,000,000","$9,000,000","$7,000,000","$6,000,000","$3,000,000","$10,000,000","$7,000,000","$5,000,000","$3,000,000","$15,000,000","$11,000,000","$6,000,000","$4,000,000","$17,000,000","$12,000,000","$8,000,000","$4,000,000","$20,000,000","$13,000,000","$9,000,000","$6,000,000","$44,000,000","$36,000,000","$18,000,000","$12,000,000","$53,000,000","$40,000,000","$28,000,000","$14,000,000","$78,000,000","$68,000,000","$44,000,000","$22,000,000","$116,000,000","$93,000,000","$65,000,000","$36,000,000","$244,000,000","$199,000,000","$146,000,000","$82,000,000","$561,000,000","$498,000,000","$250,000,000","$129,000,000","$655,000,000","$500,000,000","$349,000,000","$187,000,000","$1,063,000,000","$849,000,000","$603,000,000","$417,000,000","$1,730,000,000","$1,285,000,000","$874,000,000","$427,000,000","$993,000,000","$693,000,000","$407,000,000","$179,000,000","$174,000,000","$76,000,000","$46,000,000","$20,000,000","$36,000,000","$27,000,000","$20,000,000","$14,000,000","$19,000,000","$14,000,000","$13,000,000","$8,000,000","$22,000,000","$2,000,000","$2,000,000","$1,000,000","$5,000,000","$4,000,000","$2,000,000","$1,000,000","$4,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA
Total charge offs - home equity lines of credit,jpmorgan-chase-bank,"$28,000,000","$21,000,000","$14,000,000","$8,000,000","$27,000,000","$22,000,000","$17,000,000","$11,000,000","$50,000,000","$38,000,000","$28,000,000","$15,000,000","$121,000,000","$104,000,000","$62,000,000","$31,000,000","$121,000,000","$89,000,000","$68,000,000","$38,000,000","$174,000,000","$137,000,000","$100,000,000","$58,000,000","$269,000,000","$215,000,000","$135,000,000","$88,000,000","$335,000,000","$249,000,000","$164,000,000","$88,000,000","$390,000,000","$317,000,000","$205,000,000","$103,000,000","$541,000,000","$436,000,000","$310,000,000","$171,000,000","$884,000,000","$715,000,000","$503,000,000","$281,000,000","$1,813,000,000","$1,533,000,000","$786,000,000","$426,000,000","$1,877,000,000","$1,446,000,000","$992,000,000","$549,000,000","$2,459,000,000","$1,881,000,000","$1,360,000,000","$725,000,000","$2,990,000,000","$2,159,000,000","$1,453,000,000","$673,000,000","$1,184,000,000","$768,000,000","$443,000,000","$191,000,000","$256,000,000","$146,000,000","$76,000,000","$33,000,000","$93,000,000","$61,000,000","$39,000,000","$20,000,000","$59,000,000","$46,000,000","$33,000,000","$17,000,000","$33,000,000","$2,000,000",$0,$0,"$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$2,000,000","$9,000,000","$2,000,000","$1,000,000","$3,000,000","$3,000,000","$4,000,000","$4,000,000","$5,000,000"
Secured by 1-4 family residential properties - total recoveries,jpmorgan-chase-bank,"$255,000,000","$189,000,000","$116,000,000","$38,000,000","$300,000,000","$257,000,000","$185,000,000","$96,000,000","$372,000,000","$278,000,000","$186,000,000","$82,000,000","$398,000,000","$308,000,000","$235,000,000","$176,000,000","$299,000,000","$228,000,000","$148,000,000","$65,000,000","$599,000,000","$498,000,000","$328,000,000","$80,000,000","$399,000,000","$293,000,000","$180,000,000","$97,000,000","$356,000,000","$265,000,000","$172,000,000","$83,000,000","$453,000,000","$380,000,000","$204,000,000","$107,000,000","$541,000,000","$414,000,000","$249,000,000","$121,000,000","$546,000,000","$415,000,000","$242,000,000","$107,000,000","$237,000,000","$185,000,000","$126,000,000","$65,000,000","$273,000,000","$202,000,000","$135,000,000","$69,000,000","$210,000,000","$157,000,000","$88,000,000","$42,000,000","$88,000,000","$60,000,000","$36,000,000","$16,000,000","$35,000,000","$22,000,000","$15,000,000","$7,000,000","$31,000,000","$23,000,000","$16,000,000","$8,000,000","$30,000,000","$23,000,000","$17,000,000","$9,000,000","$27,000,000","$22,000,000","$14,000,000","$8,000,000","$22,000,000","$7,000,000","$4,000,000","$2,000,000","$6,000,000","$5,000,000","$2,000,000","$1,000,000","$6,000,000","$3,000,000","$2,000,000","$7,000,000",$0,"$1,000,000","$2,000,000",$0,$0,$0
Loans secured by 1-4 family senior liens - total recoveries,jpmorgan-chase-bank,"$163,000,000","$116,000,000","$64,000,000","$13,000,000","$149,000,000","$133,000,000","$94,000,000","$49,000,000","$144,000,000","$106,000,000","$72,000,000","$31,000,000","$218,000,000","$182,000,000","$154,000,000","$133,000,000","$119,000,000","$92,000,000","$60,000,000","$26,000,000","$405,000,000","$350,000,000","$232,000,000","$34,000,000","$153,000,000","$110,000,000","$78,000,000","$42,000,000","$137,000,000","$100,000,000","$65,000,000","$35,000,000","$234,000,000","$203,000,000","$97,000,000","$62,000,000","$314,000,000","$240,000,000","$138,000,000","$69,000,000","$302,000,000","$225,000,000","$117,000,000","$46,000,000","$54,000,000","$43,000,000","$30,000,000","$15,000,000","$82,000,000","$59,000,000","$41,000,000","$25,000,000","$49,000,000","$37,000,000","$13,000,000","$7,000,000","$18,000,000","$11,000,000","$8,000,000","$10,000,000","$13,000,000","$6,000,000","$4,000,000","$2,000,000","$8,000,000","$6,000,000","$4,000,000","$2,000,000","$15,000,000","$12,000,000","$9,000,000","$5,000,000","$10,000,000","$8,000,000","$4,000,000","$2,000,000","$9,000,000","$6,000,000","$3,000,000","$2,000,000","$4,000,000","$3,000,000","$2,000,000","$1,000,000","$4,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA
Loans secured by 1-4 family junior liens - total recoveries,jpmorgan-chase-bank,"$12,000,000","$10,000,000","$7,000,000","$3,000,000","$24,000,000","$20,000,000","$16,000,000","$8,000,000","$43,000,000","$32,000,000","$21,000,000","$9,000,000","$34,000,000","$24,000,000","$16,000,000","$8,000,000","$31,000,000","$23,000,000","$15,000,000","$6,000,000","$29,000,000","$22,000,000","$14,000,000","$6,000,000","$49,000,000","$37,000,000","$19,000,000","$11,000,000","$45,000,000","$34,000,000","$23,000,000","$11,000,000","$46,000,000","$38,000,000","$22,000,000","$9,000,000","$49,000,000","$39,000,000","$26,000,000","$12,000,000","$63,000,000","$48,000,000","$33,000,000","$16,000,000","$56,000,000","$45,000,000","$31,000,000","$18,000,000","$60,000,000","$45,000,000","$29,000,000","$14,000,000","$48,000,000","$35,000,000","$24,000,000","$10,000,000","$22,000,000","$16,000,000","$10,000,000","$1,000,000","$7,000,000","$5,000,000","$3,000,000","$1,000,000","$9,000,000","$6,000,000","$4,000,000","$2,000,000","$7,000,000","$5,000,000","$4,000,000","$2,000,000","$7,000,000","$5,000,000","$5,000,000","$3,000,000","$8,000,000","$1,000,000","$1,000,000",$0,"$1,000,000","$1,000,000",$0,$0,"$1,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA
Home equity lines of credit - total recoveries,jpmorgan-chase-bank,"$80,000,000","$63,000,000","$45,000,000","$22,000,000","$127,000,000","$104,000,000","$75,000,000","$39,000,000","$185,000,000","$140,000,000","$93,000,000","$42,000,000","$146,000,000","$102,000,000","$65,000,000","$35,000,000","$149,000,000","$113,000,000","$73,000,000","$33,000,000","$165,000,000","$126,000,000","$82,000,000","$40,000,000","$197,000,000","$146,000,000","$83,000,000","$44,000,000","$174,000,000","$131,000,000","$84,000,000","$37,000,000","$173,000,000","$139,000,000","$85,000,000","$36,000,000","$178,000,000","$135,000,000","$85,000,000","$40,000,000","$181,000,000","$142,000,000","$92,000,000","$45,000,000","$127,000,000","$97,000,000","$65,000,000","$32,000,000","$131,000,000","$98,000,000","$65,000,000","$30,000,000","$113,000,000","$85,000,000","$51,000,000","$25,000,000","$48,000,000","$33,000,000","$18,000,000","$5,000,000","$15,000,000","$11,000,000","$8,000,000","$4,000,000","$14,000,000","$11,000,000","$8,000,000","$4,000,000","$8,000,000","$6,000,000","$4,000,000","$2,000,000","$10,000,000","$9,000,000","$5,000,000","$3,000,000","$5,000,000",$0,$0,$0,"$1,000,000","$1,000,000",$0,$0,"$1,000,000","$1,000,000","$2,000,000","$1,000,000",$0,"$1,000,000",$0,$0,$0,$0
Secured by 1-4 family residential properties- net charge-offs,jpmorgan-chase-bank,"$-53,000,000","$-62,000,000","$-46,000,000","$-21,000,000","$-226,000,000","$-193,000,000","$-135,000,000","$-67,000,000","$-276,000,000","$-205,000,000","$-131,000,000","$-52,000,000","$-167,000,000","$-118,000,000","$-126,000,000","$-119,000,000","$-92,000,000","$-72,000,000","$-34,000,000","$-2,000,000","$-300,000,000","$-262,000,000","$-143,000,000","$15,000,000","$51,000,000","$70,000,000","$54,000,000","$51,000,000","$202,000,000","$149,000,000","$99,000,000","$59,000,000","$282,000,000","$224,000,000","$186,000,000","$103,000,000","$495,000,000","$379,000,000","$289,000,000","$178,000,000","$1,078,000,000","$909,000,000","$710,000,000","$426,000,000","$3,220,000,000","$2,808,000,000","$1,437,000,000","$766,000,000","$3,579,000,000","$2,741,000,000","$1,879,000,000","$968,000,000","$6,223,000,000","$4,469,000,000","$3,303,000,000","$1,980,000,000","$8,153,000,000","$5,986,000,000","$3,925,000,000","$1,778,000,000","$3,854,000,000","$2,569,000,000","$1,456,000,000","$647,000,000","$756,000,000","$418,000,000","$216,000,000","$90,000,000","$203,000,000","$130,000,000","$83,000,000","$47,000,000","$122,000,000","$93,000,000","$61,000,000","$32,000,000","$107,000,000","$12,000,000","$7,000,000","$3,000,000","$20,000,000","$13,000,000","$10,000,000","$5,000,000","$42,000,000","$26,000,000","$43,000,000","$13,000,000","$21,000,000","$24,000,000","$24,000,000","$49,000,000","$64,000,000","$63,000,000"
Loans secured by 1-4 family senior liens - net charge-offs,jpmorgan-chase-bank,"$8,000,000","$-12,000,000","$-10,000,000","$-6,000,000","$-111,000,000","$-98,000,000","$-67,000,000","$-34,000,000","$-108,000,000","$-78,000,000","$-50,000,000","$-19,000,000","$-123,000,000","$-107,000,000","$-113,000,000","$-111,000,000","$-50,000,000","$-37,000,000","$-22,000,000","$-5,000,000","$-300,000,000","$-264,000,000","$-156,000,000","$-3,000,000","$-16,000,000","$2,000,000","$3,000,000","$6,000,000","$33,000,000","$25,000,000","$14,000,000","$5,000,000","$33,000,000","$16,000,000","$44,000,000","$23,000,000","$65,000,000","$24,000,000","$25,000,000","$23,000,000","$194,000,000","$185,000,000","$186,000,000","$124,000,000","$1,029,000,000","$919,000,000","$497,000,000","$261,000,000","$1,238,000,000","$938,000,000","$632,000,000","$276,000,000","$2,862,000,000","$1,859,000,000","$1,415,000,000","$873,000,000","$3,503,000,000","$2,591,000,000","$1,626,000,000","$684,000,000","$1,699,000,000","$1,124,000,000","$617,000,000","$282,000,000","$349,000,000","$213,000,000","$106,000,000","$43,000,000","$89,000,000","$53,000,000","$32,000,000","$17,000,000","$61,000,000","$47,000,000","$25,000,000","$13,000,000","$65,000,000","$9,000,000","$6,000,000","$2,000,000","$16,000,000","$10,000,000","$7,000,000","$3,000,000","$39,000,000",NA,NA,NA,NA,NA,NA,NA,NA,NA
