,Date,sev_netIntInc,sev_nonIntInc,sev_nonIntExp,sev_addNonIntInc,sev_addNonIntExp,sup_netIntInc,sup_nonIntInc,sup_nonIntExp,sup_addNonIntInc,sup_addNonIntExp,severe_ppnr,super_ppnr
0,1993 Q4,3706000000.0,2995000000.0,4024000000.0,1544000000.0,1473000000.0,3706000000,2995000000,4024000000,1544000000,1473000000,2748000000,2748000000
1,1994 Q4,3779000000.0,2463000000.0,4305000000.0,1627000000.0,1695000000.0,3779000000,2463000000,4305000000,1627000000,1695000000,1869000000,1869000000
2,1995 Q4,3834000000.0,2689000000.0,4202000000.0,1698000000.0,1642000000.0,3834000000,2689000000,4202000000,1698000000,1642000000,2377000000,2377000000
3,1996 Q4,6558000000.0,5819000000.0,9611000000.0,3381000000.0,4448000000.0,6558000000,5819000000,9611000000,3381000000,4448000000,1699000000,1699000000
4,1997 Q4,6267000000.0,5399000000.0,7826000000.0,2753000000.0,2620000000.0,6267000000,5399000000,7826000000,2753000000,2620000000,3973000000,3973000000
5,1998 Q4,6659000000.0,5874000000.0,8643000000.0,2936000000.0,3221000000.0,6659000000,5874000000,8643000000,2936000000,3221000000,3605000000,3605000000
6,1999 Q4,6921000000.0,7914000000.0,8871000000.0,4126000000.0,2899000000.0,6921000000,7914000000,8871000000,4126000000,2899000000,7191000000,7191000000
7,2000 Q4,7370000000.0,9242000000.0,11010000000.0,4342000000.0,3638000000.0,7370000000,9242000000,11010000000,4342000000,3638000000,6306000000,6306000000
8,2001 Q4,9310000000.0,11444000000.0,16203000000.0,3816000000.0,5804000000.0,9310000000,11444000000,16203000000,3816000000,5804000000,2563000000,2563000000
9,2002 Q4,8796000000.0,11821000000.0,17521000000.0,5084000000.0,5916000000.0,8796000000,11821000000,17521000000,5084000000,5916000000,2264000000,2264000000
10,2003 Q1,2524000000.0,3581000000.0,4450000000.0,1527000000.0,1078000000.0,2524000000,3581000000,4450000000,1527000000,1078000000,2104000000,2104000000
11,2003 Q2,4953000000.0,7515000000.0,8800000000.0,2967000000.0,2099000000.0,4953000000,7515000000,8800000000,2967000000,2099000000,4536000000,4536000000
12,2003 Q3,7293000000.0,10570000000.0,12577000000.0,4346000000.0,3188000000.0,7293000000,10570000000,12577000000,4346000000,3188000000,6444000000,6444000000
